ILOCOS_NORTE,ILOCOS_SUR,LA_UNION,PANGASINAN,BATANES,CAGAYAN,ISABELA,NUEVA_VIZCAYA,QUIRINO,BATAAN,BULACAN,NUEVA_ECIJA,PAMPANGA,TARLAC,ZAMBALES,AURORA,BATANGAS,CAVITE,LAGUNA,QUEZON,RIZAL,ALBAY,CAMARINES_NORTE,CAMARINES_SUR,CATANDUANES,MASBATE,SORSOGON,AKLAN,ANTIQUE,CAPIZ,ILOILO,NEGROS_OCCIDENTAL,GUIMARAS,BOHOL,CEBU,NEGROS_ORIENTAL,SIQUIJOR,EASTERN_SAMAR,LEYTE,NORTHERN_SAMAR,SAMAR,SOUTHERN_LEYTE,BILIRAN,ZAMBOANGA_DEL_NORTE,ZAMBOANGA_DEL_SUR,ZAMBOANGA_SIBUGAY,CITY_OF_ISABELA,BUKIDNON,CAMIGUIN,LANAO_DEL_NORTE,MISAMIS_OCCIDENTAL,MISAMIS_ORIENTAL,DAVAO_DEL_NORTE,DAVAO_DEL_SUR,DAVAO_ORIENTAL,COMPOSTELA_VALLEY,DAVAO_OCCIDENTAL,COTABATO,SOUTH_COTABATO,SULTAN_KUDARAT,SARANGANI,COTABATO_CITY,CITY_OF_MANILA,"NCR,_SECOND_DISTRICT","NCR,_THIRD_DISTRICT","NCR,_FOURTH_DISTRICT",ABRA,BENGUET,IFUGAO,KALINGA,MOUNTAIN_PROVINCE,APAYAO,BASILAN,LANAO_DEL_SUR,MAGUINDANAO,SULU,TAWI_TAWI,AGUSAN_DEL_NORTE,AGUSAN_DEL_SUR,SURIGAO_DEL_NORTE,SURIGAO_DEL_SUR,DINAGAT_ISLANDS,MARINDUQUE,OCCIDENTAL_MINDORO,ORIENTAL_MINDORO,PALAWAN,ROMBLON
ADAMS,ALILEM,AGOO,AGNO,BASCO,ABULUG,ALICIA,AMBAGUIO,AGLIPAY,ABUCAY,ANGAT,ALIAGA,ANGELES_CITY,ANAO,BOTOLAN,BALER,AGONCILLO,ALFONSO,ALAMINOS,AGDANGAN,ANGONO,BACACAY,BASUD,BAAO,BAGAMANOC,AROROY,BARCELONA,ALTAVAS,ANINI_Y,CUARTERO,AJUY,BACOLOD_CITY,BUENAVISTA,ALBURQUERQUE,ALCANTARA,AMLAN,ENRIQUE_VILLANUEVA,ARTECHE,ABUYOG,ALLEN,ALMAGRO,ANAHAWAN,ALMERIA,DAPITAN_CITY,AURORA,ALICIA,CITY_OF_ISABELA,BAUNGON,CATARMAN,BACOLOD,ALORAN,ALUBIJID,ASUNCION,BANSALAN,BAGANGA,COMPOSTELA,DON_MARCELINO,ALAMADA,BANGA,BAGUMBAYAN,ALABEL,COTABATO_CITY,TONDO_I_/_II,CITY_OF_MANDALUYONG,CALOOCAN_CITY,CITY_OF_LAS_PIÑAS,BANGUED,ATOK,BANAUE,BALBALAN,BARLIG,CALANASAN,CITY_OF_LAMITAN,BACOLOD_KALAWI,AMPATUAN,INDANAN,PANGLIMA_SUGALA,BUENAVISTA,CITY_OF_BAYUGAN,ALEGRIA,BAROBO,BASILISA,BOAC,ABRA_DE_ILOG,BACO,ABORLAN,ALCANTARA
BACARRA,BANAYOYO,ARINGAY,AGUILAR,ITBAYAT,ALCALA,ANGADANAN,ARITAO,CABARROGUIS,BAGAC,BALAGTAS,BONGABON,APALIT,BAMBAN,CABANGAN,CASIGURAN,ALITAGTAG,AMADEO,BAY,ALABAT,CITY_OF_ANTIPOLO,CAMALIG,CAPALONGA,BALATAN,BARAS,BALENO,BULAN,BALETE,BARBAZA,DAO,ALIMODIAN,BAGO_CITY,JORDAN,ALICIA,ALCOY,AYUNGON,LARENA,BALANGIGA,ALANGALANG,BIRI,BASEY,BONTOC,BILIRAN,DIPOLOG_CITY,BAYOG,BUUG,,DAMULOG,GUINSILIBAN,BALOI,BALIANGAO,BALINGASAG,CARMEN,DAVAO_CITY,BANAYBANAY,LAAK,JOSE_ABAD_SANTOS,CARMEN,GENERAL_SANTOS_CITY,COLUMBIO,GLAN,,BINONDO,CITY_OF_MARIKINA,CITY_OF_MALABON,CITY_OF_MAKATI,BOLINEY,BAGUIO_CITY,HUNGDUAN,LUBUAGAN,BAUKO,CONNER,LANTAWAN,BALABAGAN,BULDON,JOLO,BONGAO,BUTUAN_CITY,BUNAWAN,BACUAG,BAYABAS,CAGDIANAO,BUENAVISTA,CALINTAAN,BANSUD,AGUTAYA,BANTON
BADOC,BANTAY,BACNOTAN,CITY_OF_ALAMINOS,IVANA,ALLACAPAN,AURORA,BAGABAG,DIFFUN,CITY_OF_BALANGA,BALIUAG,CABANATUAN_CITY,ARAYAT,CAMILING,CANDELARIA,DILASAG,BALAYAN,BACOOR_CITY,CITY_OF_BIÑAN,ATIMONAN,BARAS,DARAGA,DAET,BATO,BATO,BALUD,BULUSAN,BANGA,BELISON,DUMALAG,ANILAO,BINALBAGAN,NUEVA_VALENCIA,ANDA,ALEGRIA,BACONG,LAZI,BALANGKAYAN,ALBUERA,BOBON,CALBAYOG_CITY,HINUNANGAN,CABUCGAYAN,KATIPUNAN,DIMATALING,DIPLAHAN,,DANGCAGAN,MAHINOG,BAROY,BONIFACIO,BALINGOAN,KAPALONG,CITY_OF_DIGOS,BOSTON,MABINI,MALITA,KABACAN,CITY_OF_KORONADAL,ESPERANZA,KIAMBA,,QUIAPO,CITY_OF_PASIG,CITY_OF_NAVOTAS,CITY_OF_MUNTINLUPA,BUCAY,BAKUN,KIANGAN,PASIL,BESAO,FLORA,MALUSO,BALINDONG,BULUAN,KALINGALAN_CALUANG,MAPUN,CABADBARAN,ESPERANZA,BURGOS,CITY_OF_BISLIG,DINAGAT,GASAN,LOOC,BONGABONG,ARACELI,CAJIDIOCAN
BANGUI,BURGOS,BAGULIN,ALCALA,MAHATAO,AMULUNG,BENITO_SOLIVEN,BAMBANG,MADDELA,DINALUPIHAN,BOCAUE,CABIAO,BACOLOR,CAPAS,CASTILLEJOS,DINALUNGAN,BALETE,CARMONA,CABUYAO_CITY,BUENAVISTA,BINANGONAN,GUINOBATAN,SAN_LORENZO_RUIZ,BOMBON,CARAMORAN,BATUAN,CASIGURAN,BATAN,BUGASONG,DUMARAO,BADIANGAN,CADIZ_CITY,SAN_LORENZO,ANTEQUERA,ALOGUINSAN,BAIS_CITY,MARIA,CITY_OF_BORONGAN,BABATNGON,CAPUL,CALBIGA,HINUNDAYAN,CAIBIRAN,LA_LIBERTAD,DINAS,IMELDA,,DON_CARLOS,MAMBAJAO,ILIGAN_CITY,CALAMBA,BINUANGAN,NEW_CORELLA,HAGONOY,CARAGA,MACO,SANTA_MARIA,LIBUNGAN,NORALA,ISULAN,MAASIM,,SAN_NICOLAS,QUEZON_CITY,CITY_OF_VALENZUELA,CITY_OF_PARAÑAQUE,BUCLOC,BOKOD,LAGAWE,PINUKPUK,BONTOC,KABUGAO,SUMISIP,BAYANG,DATU_PAGLAS,LUUK,SIMUNUL,CARMEN,LA_PAZ,CLAVER,CAGWAIT,LIBJO,MOGPOG,LUBANG,BULALACAO,BALABAC,CALATRAVA
CITY_OF_BATAC,CABUGAO,BALAOAN,ANDA,SABTANG,APARRI,BURGOS,BAYOMBONG,SAGUDAY,HERMOSA,BULACAN,CARRANGLAN,CANDABA,CONCEPCION,IBA,DINGALAN,BATANGAS_CITY,CAVITE_CITY,CITY_OF_CALAMBA,BURDEOS,CAINTA,JOVELLAR,JOSE_PANGANIBAN,BUHI,GIGMOTO,CATAINGAN,CASTILLA,BURUANGA,CALUYA,IVISAN,BALASAN,CALATRAVA,SIBUNAG,BACLAYON,ARGAO,BASAY,SAN_JUAN,CAN_AVID,BARUGO,CATARMAN,DARAM,LIBAGON,CULABA,LABASON,DUMALINAO,IPIL,,IMPASUG_ONG,SAGAY,KAPATAGAN,CLARIN,CAGAYAN_DE_ORO_CITY,CITY_OF_PANABO,KIBLAWAN,CATEEL,MARAGUSAN,SARANGANI,MAGPET,POLOMOLOK,KALAMANSIG,MAITUM,,SANTA_CRUZ,CITY_OF_SAN_JUAN,,PASAY_CITY,DAGUIOMAN,BUGUIAS,LAMUT,RIZAL,NATONIN,LUNA,TIPO_TIPO,BINIDAYAN,DATU_PIANG,MAIMBUNG,SITANGKAI,JABONGA,LORETO,DAPA,CANTILAN,LORETO,SANTA_CRUZ,MAGSAYSAY,CITY_OF_CALAPAN,BATARAZA,CONCEPCION
BURGOS,CITY_OF_CANDON,BANGAR,ASINGAN,UYUGAN,BAGGAO,CABAGAN,DIADI,NAGTIPUNAN,LIMAY,BUSTOS,CUYAPO,FLORIDABLANCA,GERONA,MASINLOC,DIPACULAO,BAUAN,CITY_OF_DASMARIÑAS,CALAUAN,CALAUAG,CARDONA,LEGAZPI_CITY,LABO,BULA,PANDAN,CAWAYAN,DONSOL,IBAJAY,CULASI,JAMINDAN,BANATE,CANDONI,,BALILIHAN,ASTURIAS,CITY_OF_BAYAWAN,SIQUIJOR,DOLORES,BATO,CATUBIG,GANDARA,LILOAN,KAWAYAN,LILOY,DUMINGAG,KABASALAN,,KADINGILAN,,SULTAN_NAGA_DIMAPORO,CONCEPCION,CLAVERIA,ISLAND_GARDEN_CITY_OF_SAMAL,MAGSAYSAY,GOVERNOR_GENEROSO,MAWAB,,MAKILALA,SURALLAH,LEBAK,MALAPATAN,,SAMPALOC,,,PATEROS,DANGLAS,ITOGON,MAYOYAO,CITY_OF_TABUK,PARACELIS,PUDTOL,TUBURAN,BUBONG,DATU_ODIN_SINSUAT,HADJI_PANGLIMA_TAHIL,SOUTH_UBIAN,KITCHARAO,PROSPERIDAD,DEL_CARMEN,CARMEN,SAN_JOSE,TORRIJOS,MAMBURAO,GLORIA,BROOKE'S_POINT,CORCUERA
CARASI,CAOAYAN,BAUANG,BALUNGAO,,BALLESTEROS,CABATUAN,DUPAX_DEL_NORTE,,MARIVELES,CALUMPIT,GABALDON,GUAGUA,LA_PAZ,OLONGAPO_CITY,MARIA_AURORA,CALACA,GENERAL_EMILIO_AGUINALDO,CAVINTI,CANDELARIA,JALA_JALA,LIBON,MERCEDES,CABUSAO,PANGANIBAN,CLAVERIA,GUBAT,KALIBO,TOBIAS_FORNIER,MA_AYON,BAROTAC_NUEVO,CAUAYAN,,BATUAN,BADIAN,BINDOY,,GENERAL_MACARTHUR,CITY_OF_BAYBAY,GAMAY,HINABANGAN,CITY_OF_MAASIN,MARIPIPI,MANUKAN,KUMALARANG,MABUHAY,,KALILANGAN,,KAUSWAGAN,JIMENEZ,CITY_OF_EL_SALVADOR,SANTO_TOMAS,MALALAG,LUPON,MONKAYO,,MATALAM,TAMPAKAN,LUTAYAN,MALUNGON,,SAN_MIGUEL,,,TAGUIG_CITY,DOLORES,KABAYAN,ALFONSO_LISTA,TANUDAN,SABANGAN,SANTA_MARCELA,AKBAR,BUTIG,SHARIFF_AGUAK,OLD_PANAMAO,TANDUBAS,LAS_NIEVES,ROSARIO,GENERAL_LUNA,CARRASCAL,TUBAJON,,PALUAN,MANSALAY,BUSUANGA,LOOC
CURRIMAO,CERVANTES,BURGOS,BANI,,BUGUEY,CITY_OF_CAUAYAN,DUPAX_DEL_SUR,,MORONG,GUIGUINTO,CITY_OF_GAPAN,LUBAO,MAYANTOC,PALAUIG,SAN_LUIS,CALATAGAN,GENERAL_TRIAS,FAMY,CATANAUAN,RODRIGUEZ,CITY_OF_LIGAO,PARACALE,CALABANGA,SAN_ANDRES,DIMASALANG,IROSIN,LEZO,HAMTIC,MAMBUSAO,BAROTAC_VIEJO,ENRIQUE_B._MAGALONA,,BILAR,BALAMBAN,CANLAON_CITY,,GIPORLOS,BURAUEN,LAOANG,JIABONG,MACROHON,NAVAL,MUTIA,LABANGAN,MALANGAS,,KIBAWE,,KOLAMBUGAN,LOPEZ_JAENA,GINGOOG_CITY,CITY_OF_TAGUM,MATANAO,MANAY,MONTEVISTA,,MIDSAYAP,TANTANGAN,LAMBAYONG,,,ERMITA,,,,LA_PAZ,KAPANGAN,AGUINALDO,TINGLAYAN,SADANGA,,AL_BARKA,GANASSI,MATANOG,PANGUTARAN,TURTLE_ISLANDS,MAGALLANES,SAN_FRANCISCO,GIGAQUIT,CORTES,,,RIZAL,NAUJAN,CAGAYANCILLO,MAGDIWANG
DINGRAS,GALIMUYOD,CABA,BASISTA,,CALAYAN,CORDON,KASIBU,,ORANI,HAGONOY,GENERAL_MAMERTO_NATIVIDAD,MABALACAT_CITY,MONCADA,SAN_ANTONIO,,CUENCA,IMUS_CITY,KALAYAAN,DOLORES,MORONG,MALILIPOT,SAN_VICENTE,CAMALIGAN,SAN_MIGUEL,ESPERANZA,JUBAN,LIBACAO,LAUA_AN,PANAY,BATAD,CITY_OF_ESCALANTE,,BUENAVISTA,BANTAYAN,DAUIN,,GUIUAN,CALUBIAN,LAPINIG,MARABUT,MALITBOG,,PIÑAN,LAPUYAN,NAGA,,KITAOTAO,,LALA,OROQUIETA_CITY,GITAGUM,TALAINGOD,PADADA,CITY_OF_MATI,NABUNTURAN,,M'LANG,T'BOLI,PALIMBANG,,,INTRAMUROS,,,,LACUB,KIBUNGAN,HINGYON,,SAGADA,,HADJI_MOHAMMAD_AJUL,KAPAI,PAGALUNGAN,PARANG,LANGUYAN,NASIPIT,SAN_LUIS,MAINIT,HINATUAN,,,SABLAYAN,PINAMALAYAN,CORON,ODIONGAN
DUMALNEG,GREGORIO_DEL_PILAR,LUNA,BAUTISTA,,CAMALANIUGAN,DINAPIGUE,KAYAPA,,ORION,CITY_OF_MALOLOS,GENERAL_TINIO,MACABEBE,PANIQUI,SAN_FELIPE,,IBAAN,INDANG,LILIW,GENERAL_LUNA,PILILLA,MALINAO,SANTA_ELENA,CANAMAN,VIGA,MANDAON,MAGALLANES,MADALAG,LIBERTAD,PANITAN,BINGAWAN,CITY_OF_HIMAMAYLAN,,CALAPE,BARILI,DUMAGUETE_CITY,,HERNANI,CAPOOCAN,LAS_NAVAS,MATUGUINAO,PADRE_BURGOS,,POLANCO,MAHAYAG,OLUTANGA,,LANTAPAN,,LINAMON,OZAMIS_CITY,INITAO,BRAULIO_E._DUJALI,SANTA_CRUZ,SAN_ISIDRO,NEW_BATAAN,,PIGKAWAYAN,TUPI,PRESIDENT_QUIRINO,,,MALATE,,,,LAGANGILANG,LA_TRINIDAD,TINOC,,TADIAN,,UNGKAYA_PUKAN,LUMBA_BAYABAO,PARANG,PATA,SAPA_SAPA,SANTIAGO,SANTA_JOSEFA,MALIMONO,LANUZA,,,SAN_JOSE,POLA,CUYO,ROMBLON
BANNA,LIDLIDDA,NAGUILIAN,BAYAMBANG,,CLAVERIA,DIVILACAN,QUEZON,,PILAR,MARILAO,GUIMBA,MAGALANG,PURA,SAN_MARCELINO,,LAUREL,KAWIT,LOS_BAÑOS,GENERAL_NAKAR,SAN_MATEO,MANITO,TALISAY,CARAMOAN,VIRAC,CITY_OF_MASBATE,MATNOG,MAKATO,PANDAN,PILAR,CABATUAN,HINIGARAN,,CANDIJAY,CITY_OF_BOGO,CITY_OF_GUIHULNGAN,,JIPAPAD,CARIGARA,LAVEZARES,MOTIONG,PINTUYAN,,PRES._MANUEL_A._ROXAS,MARGOSATUBIG,PAYAO,,LIBONA,,MAGSAYSAY,PANAON,JASAAN,SAN_ISIDRO,SULOP,TARRAGONA,PANTUKAN,,PIKIT,SANTO_NIÑO,CITY_OF_TACURONG,,,PACO,,,,LAGAYAN,MANKAYAN,ASIPULO,,,,HADJI_MUHTAMAD,LUMBATAN,SULTAN_KUDARAT,PATIKUL,SIBUTU,TUBAY,TALACOGON,PILAR,LIANGA,,,SANTA_CRUZ,PUERTO_GALERA,DUMARAN,SAN_AGUSTIN
LAOAG_CITY,MAGSINGAL,PUGO,BINALONAN,,ENRILE,ECHAGUE,SANTA_FE,,SAMAL,CITY_OF_MEYCAUAYAN,JAEN,MASANTOL,RAMOS,SAN_NARCISO,,LEMERY,MAGALLANES,LUISIANA,GUINAYANGAN,TANAY,OAS,VINZONS,DEL_GALLEGO,,MILAGROS,PILAR,MALAY,PATNONGON,PONTEVEDRA,CALINOG,HINOBA_AN,,CARMEN,BOLJOON,JIMALALUD,,LAWAAN,DAGAMI,MAPANAS,PINABACDAO,SAINT_BERNARD,,RIZAL,MIDSALIP,ROSELLER_LIM,,CITY_OF_MALAYBALAY,,MAIGO,PLARIDEL,KINOGUITAN,,,,,,PRESIDENT_ROXAS,LAKE_SEBU,SEN._NINOY_AQUINO,,,PANDACAN,,,,LANGIDEN,SABLAN,,,,,TABUAN_LASA,MADALUM,SULTAN_SA_BARONGIS,SIASI,,REMEDIOS_T._ROMUALDEZ,TRENTO,PLACER,LINGIG,,,,ROXAS,EL_NIDO,SAN_ANDRES
